product_id,quantity
275,5687
271,5147
183,5005
207,6328
280,6872
283,5314
257,7463
265,6697
176,4758
190,6633
238,5710
292,6838
158,6448
131,5125
296,5952
284,4789
150,4231
102,9290
281,5277
217,7897
215,7088
289,8171
105,7683
242,8672
119,4250
168,6832
299,5407
140,7141
167,8432
113,9482
135,4751
164,6215
137,4198
121,8042
250,6336
253,6784
116,4928
290,5769
263,6995
136,3463
274,6684
114,3045
184,5731
268,5127
104,5544
223,4944
144,8173
260,7524
293,3575
270,8351
151,6342
100,7054
193,10553
154,4528
107,6370
142,7121
252,5074
240,6312
294,4487
108,5908
222,6803
173,7646
225,7107
109,4460
149,6945
262,5677
125,6308
220,9655
231,6638
196,5042
269,7216
204,5389
212,5636
199,5692
282,5515
224,4435
129,8154
258,7051
232,3961
219,5428
228,5187
122,5716
171,7137
123,5736
148,6449
244,6037
276,8457
153,5287
134,6071
192,8334
297,5296
267,5036
195,7624
152,5167
106,5618
180,5305
163,5270
249,3198
227,5230
145,6913
115,4281
162,6745
124,5292
205,4258
172,7389
285,5060
221,4305
181,7568
277,5357
182,2397
101,7541
272,9280
165,5903
191,4727
266,6098
218,4687
112,5956
208,6562
256,6937
110,4534
248,4372
243,5874
170,4891
298,4523
286,7028
241,3856
235,5641
185,6914
187,6087
175,6854
128,4662
201,8113
210,5420
120,4901
126,7020
132,5055
216,5812
234,5341
255,5662
127,5431
273,5983
278,5356
166,4653
213,6289
118,4356
229,8279
194,2711
186,6075
146,4921
279,6645
143,4582
287,5777
239,4320
179,4116
139,4172
103,6465
198,5389
202,3532
156,3827
230,6889
251,5600
237,4562
203,7164
206,4692
160,4028
214,4471
264,7787
178,5907
288,3781
209,5388
169,7307
161,6473
291,4634
233,9878
245,6204
130,5087
141,4601
111,5383
155,7901
188,5370
147,6025
197,4714
189,5010
159,4007
259,6550
211,3138
247,8443
200,4903
236,4658
157,4804
246,6988
254,4493
295,6359
261,6404
138,4955
174,4446
133,3862
177,4852
117,5435
226,7727
